Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species
1,5.1,3.5,,0.2,Iris-setosa
2,4.9,3,1.4,0.2,Iris-setosa
3,4.7,,1.3,0.2,Iris-setosa
4,4.6,3.1,1.5,0.2,
5,5,3.6,1.4,0.2,Iris-setosa
6,5.4,3.9,,0.4,Iris-setosa
7,4.6,,1.4,0.3,Iris-setosa
8,5,3.4,1.5,0.2,Iris-setosa
9,,2.9,1.4,0.2,Iris-setosa
10,4.9,3.1,,0.1,Iris-setosa
11,,3.7,1.5,0.2,
12,4.8,3.4,1.6,0.2,Iris-setosa
13,4.8,3,1.4,0.1,Iris-setosa
14,4.3,3,,0.1,Iris-setosa
15,5.8,4,1.2,0.2,
16,,4.4,1.5,0.4,Iris-setosa
17,5.4,3.9,1.3,0.4,
18,5.1,,,0.3,Iris-setosa
19,,3.8,1.7,0.3,Iris-setosa
20,5.1,3.8,1.5,0.3,Iris-setosa
